order_item_id,order_id,order_date,product_id,quantity,price,discount,total
1,1,2026-05-18T01:02:54,154,1,52.19,0.00,52.19
2,1,2026-05-18T01:02:54,110,4,489.77,195.91,1763.17
3,1,2026-05-18T01:02:54,815,1,121.32,0.00,121.32
4,1,2026-05-18T01:02:54,754,4,379.57,0.00,1518.28
5,1,2026-05-18T01:02:54,373,3,298.75,0.00,896.25
6,1,2026-05-18T01:02:54,411,1,79.41,0.00,79.41
7,2,2022-11-30T22:34:26,474,1,203.47,0.00,203.47
8,2,2022-11-30T22:34:26,895,1,499.05,24.95,474.10
9,2,2022-11-30T22:34:26,171,1,395.89,0.00,395.89
10,3,2026-06-18T10:58:52,502,2,162.71,0.00,325.42
11,3,2026-06-18T10:58:52,952,1,435.32,43.53,391.79
12,3,2026-06-18T10:58:52,670,3,369.41,0.00,1108.23
13,3,2026-06-18T10:58:52,274,1,492.16,0.00,492.16
14,3,2026-06-18T10:58:52,825,1,394.38,0.00,394.38
15,3,2026-06-18T10:58:52,205,1,221.51,11.08,210.43
16,4,2026-05-17T18:41:15,239,1,263.56,0.00,263.56
17,4,2026-05-17T18:41:15,988,1,428.99,42.90,386.09
18,4,2026-05-17T18:41:15,771,1,73.48,7.35,66.13
19,4,2026-05-17T18:41:15,212,1,123.39,6.17,117.22
20,4,2026-05-17T18:41:15,781,1,157.04,0.00,157.04
21,5,2024-07-18T15:05:50,182,1,440.12,0.00,440.12
22,5,2024-07-18T15:05:50,303,2,339.61,67.92,611.30
23,5,2024-07-18T15:05:50,983,1,370.68,0.00,370.68
24,5,2024-07-18T15:05:50,365,3,73.98,0.00,221.94
25,5,2024-07-18T15:05:50,77,1,448.53,0.00,448.53
26,6,2026-01-12T13:59:14,997,1,429.22,64.38,364.84
27,6,2026-01-12T13:59:14,34,2,415.09,83.02,747.16
28,7,2026-04-11T02:48:16,981,4,18.27,0.00,73.08
29,7,2026-04-11T02:48:16,456,1,100.32,0.00,100.32
30,7,2026-04-11T02:48:16,275,1,182.66,0.00,182.66
31,7,2026-04-11T02:48:16,297,1,171.55,0.00,171.55
32,8,2026-05-24T20:17:45,128,3,384.91,0.00,1154.73
33,8,2026-05-24T20:17:45,871,1,133.90,0.00,133.90
34,8,2026-05-24T20:17:45,969,1,424.62,0.00,424.62
35,8,2026-05-24T20:17:45,735,2,256.52,0.00,513.04
