category_id,name,description,parent_id
1,Electronics,Out quickly play treat ok live.,
2,Clothing,Possible another interest whom record.,
3,Home & Kitchen,Let ever join.,
4,Beauty,Democrat father according religious lead.,
5,Sports & Outdoors,Full smile book window start deal.,
6,Books,Ten yourself second word like.,
7,Toys,Window main eye walk.,
8,Automotive,Benefit woman green seat after.,
9,Health,Hospital buy question business.,
10,Grocery,Suddenly whose charge debate college turn animal.,
11,Pet Supplies,Summer phone from listen reach example cell.,
12,Office Products,He face adult.,
13,Garden,Bed information themselves common.,
14,Baby,Human sea animal sister.,
15,Furniture,Begin north specific key eight near avoid.,
16,Industrial,Read call bag green top security billion.,
17,Music,Seek operation moment science night.,
18,Movies,Level recognize establish somebody.,
19,Art,It he safe mother realize.,
20,Jewelry,I Mr culture yard line discuss level.,
21,Handmade,Leave find realize society continue enough.,
22,Clothing - Represent,Other dark then practice outside ago available.,2
23,Music - End,Interest mention raise right former.,17
24,Baby - Expect,Store keep operation option.,14
25,Grocery - Live,Even billion story.,10
26,Grocery - Great,Mouth including describe establish character happy sell.,10
27,Art - Wife,Huge camera media.,19
28,Clothing - Live,Serious wall rest may also administration.,2
29,Furniture - Citizen,Source with site others.,15
30,Sports & Outdoors - Mention,Receive million learn report attorney number respond trial.,5
31,Clothing - In,Occur state not cost type pull.,2
32,Office Products - Day,Point allow sing system management million.,12
33,Handmade - Analysis,Main quite move out consumer administration probably.,21
34,Industrial - Shoulder,Memory doctor wish during audience actually toward.,16
35,Industrial - Current,These exactly medical course participant so.,16
36,Industrial - Citizen,End house experience edge focus reality.,16
37,Music - Data,Certain popular same against.,17
38,Pet Supplies - Focus,Letter mission minute produce may new.,11
39,Home & Kitchen - Third,Sell thus official.,3
40,Movies - Everybody,Expert account camera yes save difference something.,18
41,Grocery - Do,Tend behind fast compare remain court me.,10
42,Pet Supplies - My,Smile early result tend.,11
43,Automotive - Could,Parent movement term step site.,8
44,Beauty - Study,Idea show first development reach from physical.,4
45,Jewelry - Forward,Compare character machine beat.,20
46,Music - Top,Someone quickly plant answer his concern.,17
47,Baby - Create,Especially present discuss political.,14
48,Health - Road,Door suddenly tax less.,9
49,Movies - Under,Arrive Mr act.,18
50,Office Products - Right,Everyone your occur discuss western gun.,12
51,Grocery - Hit,Keep only compare.,10
52,Grocery - Trial,Also remain morning.,10
53,Sports & Outdoors - Really,Soon feel race responsibility.,5
54,Clothing - Campaign,Always himself big memory fish.,2
55,Office Products - Table,Area building could effort special thing ever.,12
56,Art - Billion,Style why buy carry color both.,19
57,Clothing - Religious,Seat officer article agent.,2
