product_id,name,description,price,cost,category_id,sku,inventory_count,weight,is_active
1,Toward Question 1,Quality question for everyday use.,6.81,3.39,55,SKU-PZ-0000001,208,17.98,true
2,Since Assume 2,Quality assume for everyday use.,61.35,30.20,144,SKU-RA-0000002,495,11.30,true
3,Enter Realize 3,Quality realize for everyday use.,432.20,177.58,415,SKU-EL-0000003,46,18.39,true
4,None We 4,Quality we for everyday use.,6.60,5.17,126,SKU-AE-0000004,151,6.07,true
5,Leave Same 5,Quality same for everyday use.,257.02,175.80,399,SKU-VD-0000005,423,2.39,true
6,Tv Grow 6,Quality grow for everyday use.,247.80,162.12,232,SKU-EN-0000006,267,11.17,true
7,Player Explain 7,Quality explain for everyday use.,170.54,118.97,117,SKU-CG-0000007,87,6.98,true
8,Film Together 8,Quality together for everyday use.,219.07,134.21,168,SKU-YR-0000008,106,16.06,false
9,Draw Personal 9,Quality personal for everyday use.,391.60,231.22,266,SKU-ZJ-0000009,383,17.60,true
10,Boy Also 10,Quality also for everyday use.,421.54,244.41,383,SKU-QF-0000010,431,9.50,true
11,Race Meet 11,Quality meet for everyday use.,134.60,88.32,304,SKU-KE-0000011,180,19.43,true
12,To Imagine 12,Quality imagine for everyday use.,165.30,79.45,467,SKU-VE-0000012,237,11.10,true
13,You Nearly 13,Quality nearly for everyday use.,125.78,94.99,434,SKU-EM-0000013,392,5.49,true
14,Those Major 14,Quality major for everyday use.,243.04,176.13,377,SKU-LH-0000014,88,9.83,true
15,Easy Peace 15,Quality peace for everyday use.,343.52,185.44,302,SKU-JH-0000015,103,0.84,true
16,Hand Compare 16,Quality compare for everyday use.,118.75,74.98,145,SKU-XP-0000016,387,16.10,false
17,Indicate Consumer 17,Quality consumer for everyday use.,169.37,77.30,207,SKU-YZ-0000017,93,2.12,false
18,Spring Rich 18,Quality rich for everyday use.,465.60,367.33,60,SKU-RV-0000018,386,6.24,true
19,Paper After 19,Quality after for everyday use.,29.98,22.82,188,SKU-CY-0000019,249,11.35,true
20,Professor Lose 20,Quality lose for everyday use.,233.61,179.59,464,SKU-MT-0000020,496,0.96,true
21,Believe Learn 21,Quality learn for everyday use.,357.50,190.50,213,SKU-FC-0000021,16,1.68,true
22,Than Movement 22,Quality movement for everyday use.,80.31,37.56,57,SKU-XL-0000022,473,13.95,true
23,Require Officer 23,Quality officer for everyday use.,29.39,14.25,326,SKU-DR-0000023,112,1.53,true
24,Site Personal 24,Quality personal for everyday use.,74.26,32.38,482,SKU-BL-0000024,17,9.59,true
25,Player Play 25,Quality play for everyday use.,459.89,206.05,434,SKU-ST-0000025,362,6.84,true
26,Store Author 26,Quality author for everyday use.,10.56,4.53,138,SKU-LJ-0000026,266,4.64,true
27,Include Month 27,Quality month for everyday use.,99.02,78.81,227,SKU-WE-0000027,419,3.86,true
28,Difficult Leave 28,Quality leave for everyday use.,21.44,9.21,266,SKU-BD-0000028,54,15.29,true
29,Memory Staff 29,Quality staff for everyday use.,60.64,27.47,124,SKU-VM-0000029,40,19.04,true
30,On Where 30,Quality where for everyday use.,312.34,228.29,135,SKU-AE-0000030,284,2.89,true
31,Network Occur 31,Quality occur for everyday use.,125.36,79.24,119,SKU-AV-0000031,441,19.20,true
32,Especially Sell 32,Quality sell for everyday use.,287.18,203.83,498,SKU-MB-0000032,203,11.94,true
33,Reach Staff 33,Quality staff for everyday use.,297.55,194.11,374,SKU-FQ-0000033,399,12.87,true
34,Lay Bill 34,Quality bill for everyday use.,425.61,320.43,421,SKU-QV-0000034,454,14.23,true
35,Since Address 35,Quality address for everyday use.,8.33,5.46,409,SKU-AB-0000035,435,14.11,true
36,Sea Him 36,Quality him for everyday use.,427.55,260.31,480,SKU-AK-0000036,254,16.41,false
37,How Street 37,Quality street for everyday use.,311.83,213.63,53,SKU-TR-0000037,349,9.72,true
38,Now Number 38,Quality number for everyday use.,86.39,50.02,441,SKU-FR-0000038,263,10.71,true
39,Degree Me 39,Quality me for everyday use.,387.82,208.81,34,SKU-RE-0000039,337,6.54,true
40,Stay Mean 40,Quality mean for everyday use.,428.60,251.61,238,SKU-TL-0000040,284,2.19,true
41,Smile Interesting 41,Quality interesting for everyday use.,131.60,61.57,298,SKU-BK-0000041,263,13.33,false
42,Less Pattern 42,Quality pattern for everyday use.,459.87,330.48,179,SKU-US-0000042,218,0.77,true
43,Couple Ready 43,Quality ready for everyday use.,230.49,116.23,74,SKU-GU-0000043,327,5.59,true
44,Agreement Room 44,Quality room for everyday use.,304.08,140.31,97,SKU-KM-0000044,376,1.98,true
45,Pretty Executive 45,Quality executive for everyday use.,492.41,245.49,413,SKU-CZ-0000045,460,3.90,true
46,Win Employee 46,Quality employee for everyday use.,184.59,136.01,160,SKU-WE-0000046,307,12.81,true
